a,No,학교명,도서관명_국문,도서관명_영문,성격 1,성격 2,도서관수(분관 포함),우편번호,주소,개관년도,전화,FAX,홈페이지_주소,번호,경도,위도,상태
college_lib_1.shp.csv,1,ICT폴리텍대학,ICT폴리텍대학 도서관,ICT LIBRARY,사립,기능대학,0,12777,"경기도 광주시 순암로 16-26, ICT폴리텍대학 (역동, ICT폴리텍대학)",2003,031-760-3306,031-767-0072,http://www.ict.ac.kr,100,127.2475755,37.39662845,정좌표
college_lib_1.shp.csv,2,가야대학교,가야대학교 분성도서관,KAYA UNIVERSITY BUNSUNG LIBRARY,사립,대학교,0,50830,"경상남도 김해시 삼계로 208, 가야대학교 분성도서관 (삼계동)",2003,055-330-1032,055-330-1132,http://lib.kaya.ac.kr,100,128.8714961,35.26791382,정좌표
college_lib_1.shp.csv,3,가천대학교,가천대학교 중앙도서관,Gachon University Central Library ,사립,대학교,1,13120,"경기도 성남시 수정구 성남대로 1342, 가천대학교 중앙도서관 ",1979,031-750-5987,031-750-5165,http://lib.gachon.ac.kr,100,127.1291041,37.44924484,정좌표
college_lib_1.shp.csv,4,가천대학교,가천대학교 중앙도서관(M),Gachon University Medical Campus Library,사립,대학교,2,21936,"인천광역시 연수구 함박뫼로 191 (연수동, 가천대학교)",1973,032-820-4081,032-820-4089,http://medilib.gachon.ac.kr,100,126.6879808,37.42230186,정좌표
college_lib_1.shp.csv,5,가톨릭관동대학교,가톨릭관동대학교 학술정보원,Catholic Kwandong University Central Library,사립,대학교,1,25601,"강원도 강릉시 범일로579번길 24, 가톨릭관동대학교",1958,033-649-7832,033-641-1088,http://library.cku.ac.kr,100,128.8748638,37.73815321,정좌표
college_lib_1.shp.csv,6,가톨릭대학교,가톨릭대학교 성신교정도서관,"The Catholic University of Korea, Theological Library",사립,대학교,0,3083,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",1960,02-740-9720,02-745-8368,lib.catholic.ac.kr,100,127.0046655,37.58562356,정좌표
college_lib_1.shp.csv,7,가톨릭대학교,가톨릭대학교 성심교정도서관,"The Catholic University of Korea, Central Library",사립,대학교,0,14662,"경기도 부천시 지봉로 43, 가톨릭대학교 성심교정 중앙도서관 (역곡동, 가톨릭대학교 성심교정)",1964,02-2164-4603,02-2164-4753,http://library.catholic.ac.kr,100,126.7990933,37.48687621,정좌표
college_lib_1.shp.csv,8,가톨릭대학교,가톨릭대학교 성의교정도서관,"The Catholic University of Korea, Medical Library",사립,대학교,0,6591,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",1957,02-2258-7167,02-532-3112,http://lib.cuk.ac.kr,100,127.0051816,37.49923118,정좌표
college_lib_1.shp.csv,9,가톨릭상지대학교,가톨릭상지대학교 도서관,Catholic Sang Ji College Library,사립,전문대학(3년제),0,36686,"경상북도 안동시 상지길 45, 가톨릭상지대학 도서관 (율세동, 가톨릭상지대학교)",1970,054-851-3061~4,054-851-3060,http://library.csj.ac.kr,100,128.7343987,36.56951679,정좌표
college_lib_1.shp.csv,10,감리교신학대학교,감리교신학대학교 도서관,Methodist Theological University Library,사립,대학교,1,3745,"서울특별시 서대문구 독립문로 56, 백주년기념관 (냉천동, 감리교신학대학)",1911,02-3619-233,02-3619-231,http://lib.mtu.ac.kr,100,126.9618931,37.5679176,정좌표
college_lib_1.shp.csv,11,강남대학교,강남대학교 도서관,Kangnam University Central Library,사립,대학교,0,446702,경기 용인시 기흥구 강남로 40구갈동,1987,031-280-3581,031-280-3589,http://lib.kangnam.ac.kr,100,127.1341806,37.27706051,정좌표
college_lib_1.shp.csv,12,강동대학교,강동대학교 도서관,GANGDONG COLLEGE LIBRARY,사립,전문대학(2년제),0,27600,"충청북도 음성군 감곡면 대학길 278, 강동대학교 경천관 도서관 (감곡면, 강동대학교)",1994,043-879-3354,043-879-3347,https://lib.gangdong.ac.kr,100,127.6473776,37.14291399,정좌표
college_lib_1.shp.csv,13,강릉영동대학교,강릉영동대학교 도서관,Library Information System,사립,전문대학(3년제),0,210010,강원 강릉시 홍제동 1009번지 강릉영동대학교 도서관,1987,033-610-0135,033-610-0455,http://lib.gyc.ac.kr,100,128.8563369,37.74651867,정좌표
college_lib_1.shp.csv,14,강릉원주대학교,강릉원주대학교 도서관 원주분관,Gangneung-Wonju National University_Wonju Library,국립,대학교,1,26403,"강원도 원주시 흥업면 남원로 150, 강릉원주대학교 원주캠퍼스 (흥업면, 강릉원주대학교원주캠퍼스)",1985,033-760-8202,033-760-8209,http://iskul.gwnu.ac.kr/wonju/,100,127.9210379,37.30431429,정좌표
college_lib_1.shp.csv,15,강릉원주대학교,강릉원주대학교 중앙도서관,Gangneung-Wonju National University Library,국립,대학교,1,25457,"강원도 강릉시 죽헌길 7, 강릉원주대학교 도서관 (지변동, 강릉원주대학교)",1946,033-640-2578,033-642-7016,http://iskul.gwnu.ac.kr,100,128.8683945,37.76832384,정좌표
college_lib_1.shp.csv,16,강원관광대학교,강원관광대학교 도서관,Kangwon Tourism College Library,사립,전문대학(2년제),0,235711,강원 태백시 대학길 97,2000,033-550-6210,033-550-6211,http://lib.kt.ac.kr,100,128.9756562,37.16270077,정좌표
college_lib_1.shp.csv,17,강원대학교,강원대학교 도서관,Kangwon National University Library,국립,대학교,2,24341,"강원도 춘천시 강원대학길 1, 도서관 (효자동, 강원대학교)",1953,033-250-8002,033-259-5687,http://library.kangwon.ac.kr,100,127.7470414,37.86729477,정좌표
