No,번호,구분,지역,도서관명_국문,도서관명_영문,설립주체,기관명,우편번호,상세주소,개관년도,전화번호,팩스,홈페이지,경도,위도,상태
1,1,시각,서울,하상시각장애인도서관,Hasang Library for the Blind,사립,사회복지법인하상복지재단,6335,서울 강남구 개포로 613 하상장애인복지관2층,1982,24516000,24516080,"www.onsori.or,kr",127.0751312,37.4925529,정좌표
2,2,시각,서울,마포점자도서실,mapo braille library,사립,한국시각장애인연합회,3957,서울특별시 마포구 월드컵로 213 마포장애인복지회관 2층,1992,23380180,23377251,"http://dream.nl,go.kr",126.9008002,37.56543973,정좌표
3,3,시각,서울,강서점자도서관,kang seo braile library,사립,한국복지사목협회,7626,서울 강서구 공항대로 8길 77-24 강서검자도서관,2005,226612280,226612290,www.ksbl.or.kr,126.8129749,37.55739797,정좌표
4,4,시각,경기,경기도시각장애인도서관,Gyeonggido Braille Library,사립,(사)경기도시각장애인연합회,16239,경기도 수원시 팔달구 팔달문로 135 1층(우만동),2001,312135045,312174437,http://lib.eyes1004.com,127.0307734,37.28255935,정좌표
5,5,시각,인천,송암점자도서관,songam braille library,사립,인천광역시 시각장애인복지연합회,22206,인천광역시 남구 한나루로 357번길 105-19,1999,328763504,328766633,http://songam.net,126.6560284,37.43811878,정좌표
6,6,시각,서울,강북점자도서관,Gangbuk Braille Library,공립,강북구청,1103,서울시 강북구 삼양로73가길 47 한빛맹학교 2층 강북점자도서관,1992,29853664,29459650,-,127.0157143,37.62789277,정좌표
7,7,시각,제주,제주점자도서관,jeju braille livrary,사립,사회복지법인 삼다,63311,제주특별자치도 제주시 아봉로 433(월평동)제주시각장애인복지관 2층,2004,647275545,647275546,www.jbl.or.kr,126.5812628,33.47101011,정좌표
8,8,시각,강원,책드림도서관,,사립,강원도장애인재활협회,24358,강원도 춘천시 중앙로 131 춘천시민복지회관 4층,2005,332538513,332578513,www.kwrd.dr.kr,127.7208185,37.87577861,정좌표
9,9,시각,경기,성남시한마음점자도서관,Seong-nam0si Hanmaum Braille library,사립,무응답,13508,성남시 분당구 야탑로 227(야탑동) 1층 점자도서관,2011,317259570,317259571,www.woorimaum.org,127.1441527,37.40822798,정좌표
10,10,시각,서울,서울점자도서관,seoul braille library,사립,(사)한국시각장애인연합회,1767,"서울시 노원구 동일로 1335 702호 (상계동,대원빌딩)",1992,29359696,29317427,www.kbuwel.or.kr,127.0622724,37.64799769,정좌표
11,11,시각,서울,한국시각장애인복지재단 점자도서관,k.w.f.v.h,사립,한국시각장애인복지재단 점자도서관,5275,서울 강동구 구천면로 645,1983,24405201,24405259,http://sori.or.kr,127.1692123,37.55067365,정좌표
12,12,시각,강원,강원점자도서관,Gangwon Braille Library,사립,(사)한국시각장애인연합회 강원도지부,24209,강원도 춘천시 동면 소양강로 110 강원도사회복지회관1층 102호,2002,332621996,332621997,www.kbuk.or.kr,127.7499593,37.89698665,정좌표
13,13,시각,충남,충청남도점자도서관,chungnam braille library,사립,충청남도시각장애인연합회,31139,충청남도 천안시 서북구 서부대로 602 2층,2002,415784051,415784184,http://lib.cnbind.or.kr,127.1320032,36.82085446,정좌표
14,14,시각,충북,무지개도서관,rainbow library,사립,사단법인충북시각장애인복지연합회,28583,충북 청주시 흥덕구 공단로 87 충북종합사회복지센터 505호,1997,432375544,432375543,http://rainbow.or.kr,127.439149,36.63936051,정좌표
15,15,시각,대전,대전점자도서관,djdosg,사립,대전점자도서관,35020,대전광역시 중구 서문로10 한밭도서관 별관1층,1996,422520055,422520013,cafe.daum.net/djdosg,127.409677,36.30992435,정좌표
