No,번호,도서관명,지역,시군구,도서관구분,설립주체,운영방식,개관년도,우편번호,주소,상세주소,홈페이지,전화번호,팩스,주소2,경도,위도,상태
1,1,강릉교도소,강원,강릉시,교도소,국립,-,----,210949,강원도 강릉시 공제로,413-15 강릉교도소,-,033-649-8265,033-649-8296,강원도 강릉시 공제로413-15 강릉교도소,128.8645266,37.74743128,정좌표
2,2,영월교도소,강원,영월군,교도소,국립,-,2011,230884,강원군 영월군 영월읍,팔괴로 110-27,-,033-372-1730~4,-,강원군 영월군 영월읍팔괴로 110-27,128.4612096,37.16574411,인근좌표
3,3,원주교도소,강원,원주시,교도소,국립,-,2003,26383,강원도 원주시 북원로 2155 (무실동),원주교도소,-,033-741-4864,033-741-4867,강원도 원주시 북원로 2155 (무실동)원주교도소,127.9304679,37.33809474,인근좌표
4,4,춘천교도소,강원,춘천시,교도소,국립,-,1981,24406,강원도 춘천시 동내면 신촌양지길 5,춘천교도소,http://chuncheon.corrections.go.kr/,033-262-1332,033-261-1248,강원도 춘천시 동내면 신촌양지길 5춘천교도소,127.7616616,37.85097878,인근좌표
5,5,서울구치소,경기,의왕시,교도소,국립,-,1987,437702,경기도 의왕시 포일동 안양판교로143,서울구치소,http://www.corrections.go.kr,031-423-6100,031-425-0038,경기도 의왕시 포일동 안양판교로143서울구치소,126.9892714,37.39283497,인근좌표
6,6,수원구치소,경기,수원시 팔달구,교도소,국립,-,-,442190,경기도 수원시 팔달구 우만동 ,182,-,-,-,경기도 수원시 팔달구 우만동 182,127.0363124,37.28253851,정좌표
7,7,안양교도소,경기,안양시 만안구,교도소,국립,-,1963,430083,경기도 안양시 동안구 호계3동 ,458,-,031-452-2181,031-458-2181,경기도 안양시 동안구 호계3동 458,126.9626407,37.36995168,인근좌표
8,8,여주교도소,경기,여주시,교도소,국립,-,2001,12655,경기도 여주시 가남읍 양화로 107,여주교도소,http://www.corrections.go.kr,031-887-6468,031-881-2890,경기도 여주시 가남읍 양화로 107여주교도소,127.5545568,37.23332161,인근좌표
9,9,의정부교도소,경기,의정부시,교도소,국립,-,0,480700,경기도 의정부시 송산로,1111- 76 번지,http://www.uijeongbu.corrections.go.kr,031-850-1000,031-842-7080,경기도 의정부시 송산로1111- 76 번지,127.0916017,37.72040327,인근좌표
10,10,평택지소,경기,평택시,교도소,국립,-,1996,450140,경기 평택시 동삭동,245-1 ,http://pyeongtaek.corrections.go.kr/,031-650-5865,031-650-5858,경기 평택시 동삭동245-1 ,127.095856,37.01156172,인근좌표
11,11,화성직업훈련교도소,경기,화성시,교도소,국립,-,2009,445861,경기 화성시 마도면 석교리,238-7 화성직업훈련교도소,-,031-357-9400,031-357-9482,경기 화성시 마도면 석교리238-7 화성직업훈련교도소,126.7734769,37.20944223,정좌표
12,12,밀양구치소도서관,경남,밀양시,교도소,국립,-,2011,627852,경남 밀양시 부북면 용지리,산31-1 밀양구치소 사회복귀과,-,055-350-7761,055-355-7867,경남 밀양시 부북면 용지리산31-1 밀양구치소 사회복귀과,128.7444322,35.51815228,인근좌표
13,13,진주교도소,경남,진주시,교도소,국립,-,-,660912,경남 진주시 대곡면 광석리 ,700,-,055-741-2181,055-745-6465,경남 진주시 대곡면 광석리 700,128.1582279,35.280671,정좌표
14,14,창원교도소,경남,창원시 마산회원구,교도소,국립,-,----,630705,경남 마산시 회성동 ,345번지,-,055-259-0868,055)259-6175,경남 마산시 회성동 345번지,128.5556071,35.2374635,정좌표
15,15,통영구치소,경남,통영시,교도소,국립,-,2004,650838,경상남도 통영시,용남해안로 277,-,055-649-8911,055-649-0407,경상남도 통영시용남해안로 277,128.4478729,34.86218396,인근좌표
16,16,경북북부제1교도소,경북,청송군,교도소,국립,-,1981,763710,경북 청송군 진보면 광덕리,양정길 231번지 사서함1호 경북북부제1교도소 사회복귀과,http://cheongsong.corrections.go.kr/,054-870-1367,054-870-1381,경북 청송군 진보면 광덕리양정길 231번지 사서함1호 경북북부제1교도소 사회복귀과,129.0533776,36.54931006,인근좌표
17,17,경북북부제2교도소,경북,청송군,교도소,국립,-,1992,37402,경상북도 청송군 진보면 양정길 110,경북북부제2교도소,-,054-872-4700,054-874-4705,경상북도 청송군 진보면 양정길 110경북북부제2교도소,128.7292981,35.64105012,인근좌표
18,18,경북북부제3교도소,경북,청송군,교도소,국립,-,----,763710,경북 청송군 진보면 광덕리 ,산 2,-,054-870-3162,-,경북 청송군 진보면 광덕리 산 2,129.0563684,36.55159213,인근좌표
19,19,경북직업훈련교도소,경북,청송군,교도소,국립,-,----,763710,경북 청송군 진보면 광덕리 ,양정길 231번지,-,054-870-5068,054-870-5060,경북 청송군 진보면 광덕리 양정길 231번지,129.0533776,36.54931006,인근좌표
