a,No,번호,도서관명,지역,시군구,도서관구분,설립주체,운영방식,개관년도,우편번호,주소,상세주소,홈페이지,전화번호,팩스,주소2,경도,위도,상태
public_lib_1.shp.csv,1,100,2.28민주운동기념회관(도서관),대구,중구,공공(일반),지자체,위탁,2016,700826,대구광역시 중구,2·28길 9,http://www.228lib.or.kr/,053-257-2280,053-257-2284,대구광역시 중구2·28길 9,128.5903524,35.85840335,정좌표
public_lib_1.shp.csv,2,100,4.19 혁명기념 도서관,서울,종로구,공공(일반),사립,직영,2000,110102,서울특별시 종로구 평동,166,http://library.419revolution.org,02-737-9556,02-737-9557,서울특별시 종로구 평동166,126.9676696,37.56748554,정좌표
public_lib_1.shp.csv,3,100,가락몰도서관,서울,송파구,공공(일반),사립,위탁,2016,5699,서울특별시 송파구 양재대로 932 가락동,가락몰 업무동 4층,http://www.splib.or.kr/spalib/,02-3435-0950,02-3435-0959,서울특별시 송파구 양재대로 932 가락동가락몰 업무동 4층,127.1128098,37.49128979,정좌표
public_lib_1.shp.csv,4,100,가람도서관,경기,파주시,공공(일반),지자체,위탁,2014,10895,경기도 파주시 가람로116번길 170 와동동,116번길 170,http://lib.paju.go.kr/grlib,031-949-2552,031-947-0062,경기도 파주시 가람로116번길 170 와동동116번길 170,126.7638803,37.73053966,정좌표
public_lib_1.shp.csv,5,100,가수원도서관,대전,서구,공공(일반),지자체,직영,2000,302801,대전광역시 서구 가수원로,91-11 (가수원도서관),http://www.seogu.go.kr/learning/gasuwonlib/index.do,042-288-4773,042-288-5937,대전광역시 서구 가수원로91-11 (가수원도서관),127.3489227,36.30169382,정좌표
public_lib_1.shp.csv,6,100,가양도서관,대전,동구,공공(일반),지자체,직영,2001,300090,대전 동구 가양동,우암로 277번길 72가양2동 22-4,https://www.donggu.go.kr/dg/lib,042-259-7081,042-628-8168,대전 동구 가양동우암로 277번길 72가양2동 22-4,127.4449849,36.34911675,정좌표
public_lib_1.shp.csv,7,100,가온도서관,서울,중구,공공(일반),지자체,위탁,2008,100834,서울특별시 중구 동호로14길,18 가온도서관,http://www.e-junggulib.or.kr,02-2230-2921,02-2285-4607,서울특별시 중구 동호로14길18 가온도서관,127.0108371,37.5563848,정좌표
public_lib_1.shp.csv,8,100,가재울도서관,경기,의정부시,공공(일반),지자체,직영,2018,11678,경기도 의정부시 평화로 633 가능동,가능역사 하부,http://www.uilib.go.kr,031-828-8660,031-828-8649,경기도 의정부시 평화로 633 가능동가능역사 하부,127.0442204,37.74836776,정좌표
public_lib_1.shp.csv,9,100,가평군립청평도서관,경기,가평군,공공(일반),지자체,직영,2012,12452,경기도 가평군 청평면 은고개로 31,31,http://www.gaplib.go.kr,031-580-4330,031-580-4339,경기도 가평군 청평면 은고개로 3131,127.4242054,37.73781263,인근좌표
public_lib_1.shp.csv,10,100,가평군조종도서관,경기,가평군,공공(일반),지자체,직영,2006,12437,경기도 가평군 조종면 조종희망로 26,22 (가평조종도서관),https://www.gaplib.or.kr,031-580-4301,031-580-2329,경기도 가평군 조종면 조종희망로 2622 (가평조종도서관),127.3476761,37.82731094,인근좌표
public_lib_1.shp.csv,11,100,가평군중앙도서관,경기,가평군,공공(일반),지자체,직영,1985,12419,경기도 가평군 가평읍 가화로 64,64 (가평군립도서관),http://www.gaplib.or.kr,031-580-4040,031-580-2589,경기도 가평군 가평읍 가화로 6464 (가평군립도서관),127.4426863,38.0272736,인근좌표
public_lib_1.shp.csv,12,100,갈마도서관,대전,서구,공공(일반),지자체,직영,1994,302807,대전광역시 서구 신갈마로,127번길 138,http://www.seogu.go.kr/learning/galmalib,042-288-4740,042-288-5936,대전광역시 서구 신갈마로127번길 138,127.3656975,36.34089049,정좌표
public_lib_1.shp.csv,13,100,갈산도서관,서울,양천구,공공(일반),지자체,직영,2014,158070,서울특별시 양천구 목동남로 4길,48-6 갈산도서관,http://lib.yangcheon.go.kr/,02-2649-2732,02-2652-9260,서울특별시 양천구 목동남로 4길48-6 갈산도서관,126.8673151,37.50886776,정좌표
