aa,No,번호,도서관명,지역,시군구,도서관구분,설립주체,운영방식,개관년도,우편번호,주소,상세주소,홈페이지,전화번호,팩스,주소2,경도,위도,상태
research_lib_1.shp.csv,1,100,강릉아산병원의학정보실,강원,강릉시,전문,민간,-,-,210120,강릉시 사천면 방동리,415,http://slima.amc.seoul.kr/GML/,033-610-3013,033-610-3020,강릉시 사천면 방동리415,128.8584927,37.81819067,정좌표
research_lib_1.shp.csv,2,100,강원도교육연구원 도서실,강원,춘천시,전문,공공,-,0,200150,춘천시 옥천동 ,24,http//www.keric.or.kr,033) 250-2436,033) 250-2429,춘천시 옥천동 24,127.7307522,37.88353987,정좌표
research_lib_1.shp.csv,3,100,강원도교육연수원 도서실,강원,강릉시,전문,공공,-,-,200020,강릉시 초당동 ,57-18,www.geti.or.kr,033) 653-7006,033) 652-7323,강릉시 초당동 57-18,128.9183093,37.78645541,정좌표
research_lib_1.shp.csv,4,100,강원도농업기술원 문헌정보실,강원,춘천시,전문,공공,-,0,200852,춘천시 우두동 ,402,-,033) 248-6045,033) 248-6050,춘천시 우두동 402 ,127.7356393,37.90155023,인근좌표
research_lib_1.shp.csv,5,100,강원도의회 자료실,강원,춘천시,전문,공공,-,1994,200041,춘천시 봉의동 ,15,-,033) 259-6306,033) 254-1460,춘천시 봉의동 15,127.7301052,37.8856482,정좌표
research_lib_1.shp.csv,6,100,강원도인재개발원 도서실,강원,춘천시,전문,공공,-,2000,26465,춘천시 동면 만천3리 ,324-1,-,033) 248-6236,033) 254-1460,춘천시 동면 만천3리 324-1,127.7905867,37.87828071,정좌표
research_lib_1.shp.csv,7,100,강원발전연구원 정보자료실,강원,춘천시,전문,공공,-,0,200932,춘천시 중앙로1가 ,5  강원발전연구원 402호,www.rig.re.kr,033) 250-1315,033) 250-1319,춘천시 중앙로1가 5  강원발전연구원 402호,127.7301202,37.88378021,정좌표
research_lib_1.shp.csv,8,100,건강보험심사평가원도서관,강원,원주시,전문,민간,-,0,26464,강원도 원주시 혁신로 60 반곡동,강원도 원주시 반곡동 2047-10 건강보험심사평가원 HIRA 1동 2층 도서관,http://book.hira.or.kr,033-739-0221,,강원도 원주시 혁신로 60 반곡동강원도 원주시 반곡동 2047-10 건강보험심사평가원 HIRA 1동 2층 도서관,127.9805398,37.32245791,정좌표
research_lib_1.shp.csv,9,100,국립춘천박물관 도서실,강원,춘천시,전문,공공,-,1976,26464,춘천시 석사동 ,산27-1,-,033) 260-1528,033) 260-1529,춘천시 석사동 산27-1,127.7493424,37.86159776,인근좌표
research_lib_1.shp.csv,10,100,국민건강보험 전문도서관,강원,원주시,전문,공공,-,1984,200704,강원도 원주시 건강로 32 (반곡동),지하 1층 전문도서관,http://lib.nhis.or.kr,033-736-4117,033-749-6317,강원도 원주시 건강로 32 (반곡동)지하 1층 전문도서관,127.9868854,37.32580423,정좌표
research_lib_1.shp.csv,11,100,한국관광공사자료실,강원,원주시,전문,공공,-,2003,200702,강원도 원주시 세계로 10 (반곡동),한국관광공사 홍보관 3층 자료실,http://lib.knto.or.kr,033) 738-3737,033) 738-3740,강원도 원주시 세계로 10 (반곡동)한국관광공사 홍보관 3층 자료실,127.9909306,37.32441182,정좌표
research_lib_1.shp.csv,12,100,한림대부속춘천성심병원 도서실,강원,춘천시,전문,민간,-,0,449910,춘천시 교동 ,153,http://dl.hallym.or.kr,033) 240-5128,033) 256-6244,춘천시 교동 153,127.7395744,37.88374294,정좌표
research_lib_1.shp.csv,13,100,한림대학교 일본학연구소 일본학도서관,강원,춘천시,전문,민간,-,1990,413832,강원 춘천시 옥천동 한림대학교,일본학연구소,http://japan.hallym.ac.kr,033-248-3216,033-248-3219,강원 춘천시 옥천동 한림대학교일본학연구소,127.7328838,37.88430382,인근좌표
research_lib_1.shp.csv,14,100,(주)녹십자 자료실,경기,용인시,전문,민간,-,-,449912,용인시 구성면 보정리 ,303 개발본부,-,031) 260-9676,031) 260-9408,용인시 구성면 보정리 303 개발본부,128.0911232,36.07663181,정좌표
research_lib_1.shp.csv,15,100,(주)웅진씽크빅 도서실,경기,파주시,전문,민간,-,-,463711,파주시 교하읍 문발리 ,535-1 (주)웅진씽크빅 2F 도서실,-,031-956-7431,031-956-7577,파주시 교하읍 문발리 535-1 (주)웅진씽크빅 2F 도서실,129.2972347,35.4104357,정좌표
research_lib_1.shp.csv,16,100,KCC중앙연구소자료실,경기,용인시,전문,민간,-,2010,463867,용인시 기흥구 마북동 ,83,-,031) 288-3066,031) 288-3019,용인시 기흥구 마북동 83,127.1362881,37.31251543,정좌표
research_lib_1.shp.csv,17,100,KT정보통신도서관,경기,성남시,전문,민간,-,0,440745,성남시 분당구 정자동 ,KT본사,http://dl.kt.co.kr,031) 727-4882,031) 750-3195,성남시 분당구 정자동 KT본사,127.1130301,37.36739999,인근좌표
